TS 1 Mithul's task set
DT 07082020 010001010010110
DT 08082020 000000000010100
DT 09082020 010011100100101
DT 10082020 000000100100111
DT 11082020 100000110100110
DT 12082020 100100100000110
DT 13082020 011100110000110
TS 2 Mithul's task set
DT 14082020 1001001001101111
DT 17082020 0000000101001000
DT 18082020 0001011100001101
DT 19082020 0000111011000100
DT 20082020 1000010111000101
TS 3 Mithul's task set
DT 20082020 100010111000101
DT 21082020 100010111000101
DT 22082020 101001011001010
DT 23082020 000000000000011
DT 26082020 101001000001000 N N
DT 27082020 101110101001101 N N
DT 28082020 100010100000110 N N
DT 29082020 101001011001010 N N
DT 30082020 000000000000000 N N
DT 31082020 000000000000000 Y Y
DT 01092020 101000001010111 Y Y
DT 02092020 111000011011010 Y Y
DT 03092020 100000011010001 Y Y
DT 04092020 001000001010111 Y Y
DT 05092020 000100000011010 Y Y
DT 06092020 000000000000000 Y Y
DT 07092020 000100000011110 Y N
DT 08092020 101110011011100 Y N
DT 09092020 100010111100101 Y N
DT 10092020 100010010110101 Y N
DT 11092020 001000000000000 Y N
DT 14092020 100010000000101 Y N
DT 13092020 000000000000000 Y N
DT 12092020 000000000000000 Y N
DT 15092020 000000000000000 Y N
DT 16092020 101000001111100 Y N
DT 17092020 101000000000101 N N
DT 18092020 100000000100100 N N
DT 19092020 101011001110100 N N
DT 20092020 101001000011000 N N
DT 21092020 000011000011100 N N
DT 22092020 011011101011100 N N
DT 23092020 110011001011101 N N
TS 4 Mithul's task set
DT 24092020 110011000101111 N N
DT 25092020 100001000101101 N N
DT 26092020 000011000101000 N N
DT 27092020 101111001011001 N N
DT 28092020 111001000001000 N N
DT 29092020 000001110011100 N N
DT 30092020 000011000000101 N N
DT 01102020 100111001011000 N N
DT 02102020 100011001100000 N N
DT 03102020 100001001011000 N N
DT 04102020 000100000000001 N Y
DT 07102020 000000000000000 Y Y
DT 06102020 000000000000000 N Y
DT 05102020 000000000000000 N Y
DT 11102020 100011000011000 Y N
DT 10102020 000000000000000 Y N
DT 09102020 000000000000000 Y N
DT 08102020 000000000000000 Y N
DT 12102020 000011000111100 N N
DT 13102020 100011001110100 N N
DT 14102020 100011000101100 N N
DT 15102020 000111010001101 N N
DT 16102020 101101000011001 N N
DT 17102020 100001001101000 N Y
DT 18102020 100001000001000 N Y
DT 19102020 001001000011100 N N
DT 20102020 100001000011000 N N
DT 21102020 111001001001100 N N
DT 22102020 100111001001100 N N
DT 23102020 101001101001000 N N
DT 24102020 001001001001000 N N
DT 25102020 100000000010000 N Y
DT 26102020 000001100001001 N Y
DT 27102020 100001001001100 N N
DT 28102020 100001000011101 N N
DT 30102020 000110101000100 N N
DT 29102020 100001000001100 N N
DT 31102020 000000000000000 N Y
DT 01112020 100001000011000 N N
DT 02112020 000000000000000 N N
